country_name,continent,year,happiness,GDP,life_expect,freedom,corruption,total_pop
Benin,Africa,2019,4.976,8.057,55.5,0.77,0.698,12290444
Mali,Africa,2019,4.988,7.705,54.6,0.67,0.846,20567424
Albania,Europe,2019,4.995,9.522,69.1,0.777,0.914,2854191
Cambodia,Asia,2019,4.998,8.404,61.5,0.957,0.828,16207746
Albania,Europe,2018,5.004,9.497,69.075,0.824,0.899,2866376
Ghana,Africa,2018,5.004,8.542,57.625,0.817,0.846,30870641
Niger,Africa,2019,5.004,7.105,55.5,0.831,0.729,23443393
Iran,Asia,2019,5.006,9.553,66.3,0.623,0.728,86564202
Venezuela,South America,2018,5.006,5.935,64.575,0.611,0.828,29825653
North Macedonia,Europe,2019,5.015,9.728,66.1,0.725,0.923,2076694
South Africa,Africa,2019,5.035,9.536,56.2,0.738,0.82,58087055
Ivory Coast,Africa,2017,5.038,8.466,53.65,0.732,0.771,24848016
Algeria,Africa,2018,5.043,9.37,66.3,0.583,0.759,41927007
Mongolia,Asia,2016,5.057,9.311,60,0.76,0.9,3029555
Morocco,Africa,2019,5.057,9.014,63.7,0.757,0.757,36304408
Armenia,Asia,2018,5.062,9.49,66.825,0.808,0.677,2836557
Vietnam,Asia,2016,5.062,9.053,65,0.894,0.799,93126529
Venezuela,South America,2017,5.071,5.943,64.75,0.636,0.844,30563433
Cameroon,Africa,2017,5.074,8.214,53.15,0.767,0.844,24393181
Venezuela,South America,2019,5.081,5.527,64.4,0.626,0.839,28971683
Bosnia and Herzegovina,Europe,2017,5.09,9.503,67.1,0.564,0.923,3440027
Bulgaria,Europe,2017,5.097,9.975,66.1,0.689,0.911,7075947
Indonesia,Asia,2017,5.098,9.3,62.55,0.865,0.9,264498852
Bulgaria,Europe,2018,5.099,10.008,66.2,0.724,0.952,7025037
China,Asia,2017,5.099,9.564,68.25,0.878,NA,1396215000
Nepal,Asia,2016,5.1,8.085,60.475,0.839,0.817,27861186
Tajikistan,Asia,2016,5.104,8.036,61.55,0.703,0.632,8725318
Bulgaria,Europe,2019,5.108,10.055,66.3,0.822,0.943,6975761
Bangladesh,Asia,2019,5.114,8.607,64.3,0.902,0.656,165516222
Liberia,Africa,2019,5.121,7.283,54.9,0.706,0.828,4985289
Cambodia,Asia,2018,5.122,8.347,61.3,0.958,NA,16025238
Serbia,Europe,2017,5.122,9.718,66.65,0.685,0.851,7020858
China,Asia,2018,5.131,9.625,68.375,0.895,NA,1402760000
Indonesia,Asia,2016,5.136,9.261,62.425,0.83,0.89,261850182
China,Asia,2019,5.144,9.679,68.5,0.927,NA,1407745000
Greece,Europe,2017,5.148,10.261,70.65,0.438,0.872,10754679
Azerbaijan,Asia,2017,5.152,9.555,63.35,0.731,0.653,9854033
Lebanon,Asia,2017,5.154,9.787,65.85,0.605,0.911,6109252
Gambia,Africa,2019,5.164,7.642,57,0.677,0.798,2508883
Niger,Africa,2018,5.164,7.084,55.15,0.791,0.637,22577058
Lebanon,Asia,2018,5.167,9.797,65.925,0.607,0.907,5950839
Azerbaijan,Asia,2018,5.168,9.562,63.475,0.772,0.561,9939771
Azerbaijan,Asia,2019,5.173,9.578,63.6,0.854,0.457,10024283
Vietnam,Asia,2017,5.175,9.111,65.1,NA,NA,94033048
Belarus,Europe,2016,5.178,9.792,65.325,0.658,0.664,9469379
Bosnia and Herzegovina,Europe,2016,5.181,9.46,67.05,0.633,0.957,3480986
Turkiye,Asia,2018,5.186,10.246,68.225,0.529,0.805,82809304
Laos,Asia,2019,5.197,8.967,60.5,0.906,0.62,7212053
Maldives,Asia,2018,5.198,9.893,69.775,0.855,NA,489758
Dem Rep Congo,Africa,2019,5.213,8.215,56.2,0.686,0.741,89906890
Nigeria,Africa,2016,5.22,8.558,53.425,0.798,0.905,188666931
Turkmenistan,Asia,2017,5.229,9.525,61.9,0.72,NA,5968383
Belarus,Europe,2018,5.234,9.851,65.775,0.644,0.718,9438785
North Macedonia,Europe,2017,5.234,9.662,65.7,0.752,0.856,2074502
Dominican Republic,North America,2016,5.239,9.678,63.4,0.873,0.737,10527592
North Macedonia,Europe,2018,5.24,9.69,65.9,0.745,0.91,2076217
Algeria,Africa,2017,5.249,9.377,66.2,0.437,0.7,41136546
Cameroon,Africa,2018,5.251,8.225,53.825,0.816,0.884,25076747
Guinea,Africa,2018,5.252,7.813,52.85,0.731,0.778,12554864
Nigeria,Africa,2018,5.252,8.535,54.075,0.79,0.866,198387623
Ivory Coast,Africa,2018,5.268,8.507,54.225,0.713,0.791,25493988
Jordan,Asia,2016,5.271,9.173,67.6,0.771,NA,9964656
Lebanon,Asia,2016,5.271,9.755,65.775,0.657,0.853,6258619
Vietnam,Asia,2018,5.296,9.173,65.2,0.909,0.808,94914330
Kyrgyzstan,Asia,2018,5.297,8.543,65.275,0.945,0.907,6322800
Greece,Europe,2016,5.303,10.248,70.525,0.482,0.898,10775971
Azerbaijan,Asia,2016,5.304,9.563,63.225,0.713,0.607,9757812
Montenegro,Europe,2016,5.304,9.842,66.7,0.569,0.849,622303
Morocco,Africa,2017,5.312,8.977,63.5,0.814,0.841,35528115
Nigeria,Africa,2017,5.322,8.541,53.75,0.826,0.835,193495907
China,Asia,2016,5.325,9.503,68.125,NA,NA,1387790000
Moldova,Europe,2017,5.326,9.363,63.7,0.553,0.926,2755189
Turkiye,Asia,2016,5.326,10.166,67.875,0.644,0.764,81019394
Libya,Africa,2019,5.33,10.023,65.2,0.762,0.686,6569088
Mongolia,Asia,2017,5.334,9.344,60.1,0.675,0.865,3096030
Malaysia,Asia,2018,5.339,10.197,65.725,0.875,0.894,32399271
Indonesia,Asia,2018,5.34,9.341,62.675,0.879,0.868,267066843
Algeria,Africa,2016,5.341,9.383,66.1,NA,NA,40339329
Croatia,Europe,2017,5.343,10.211,68.25,0.716,0.892,4124531
North Macedonia,Europe,2016,5.346,9.652,65.5,0.706,0.87,2072490
Indonesia,Asia,2019,5.347,9.381,62.8,0.866,0.861,269582878
Hong Kong S.A.R. of China,Asia,2017,5.362,10.999,NA,0.831,0.416,7393200
Montenegro,Europe,2019,5.386,9.978,67,0.694,0.82,622028
Morocco,Africa,2016,5.386,8.94,63.4,0.817,0.717,35107264
Ivory Coast,Africa,2019,5.392,8.542,54.8,0.736,0.799,26147551
Greece,Europe,2018,5.409,10.28,70.775,0.564,0.86,10732882
Croatia,Europe,2016,5.417,10.166,68.075,0.672,0.884,4174349
Malaysia,Asia,2019,5.428,10.228,65.7,0.916,0.782,32804020
Philippines,Asia,2016,5.431,8.938,61.925,0.908,0.792,104875266
Dominican Republic,North America,2018,5.433,9.769,63.8,0.867,0.762,10765531
Libya,Africa,2016,5.434,9.828,64.525,0.822,NA,6282196
Russia,Asia,2019,5.441,10.213,64.2,0.715,0.848,144406261
Portugal,Europe,2016,5.447,10.369,70.625,0.838,0.922,10325452
Hungary,Europe,2016,5.449,10.248,66.75,0.554,0.924,9814023
Nepal,Asia,2019,5.449,8.274,61.3,0.79,0.712,28832496
Tajikistan,Asia,2019,5.464,8.182,62,NA,0.49,9337003
Mongolia,Asia,2018,5.465,9.397,60.2,0.696,0.849,3163991
Vietnam,Asia,2019,5.467,9.235,65.3,0.952,0.788,95776716
Pakistan,Asia,2018,5.472,8.54,56.625,0.773,0.799,219731479
Turkmenistan,Asia,2019,5.474,9.615,62.1,0.892,NA,6158420
Ghana,Africa,2017,5.481,8.503,57.25,0.783,0.839,30222262
Armenia,Asia,2019,5.488,9.569,67.1,0.844,0.583,2820602
Senegal,Africa,2019,5.489,8.14,59.4,0.759,0.796,16000781
Dem Rep Congo,Africa,2018,5.49,8.239,55.875,0.699,0.738,87087355
Libya,Africa,2018,5.494,10.156,64.975,0.781,0.646,6477793
Tajikistan,Asia,2018,5.497,8.133,61.85,NA,0.578,9128132
Hong Kong S.A.R. of China,Asia,2016,5.498,10.97,NA,0.8,0.403,7336600
Russia,Asia,2018,5.514,10.191,63.825,0.729,0.865,144477859
Kazakhstan,Asia,2016,5.534,10.095,63.8,0.783,0.702,17794055
